month,med_name,total_packs,total_value,stock_movement
2024-01-01,Virbac C.E.T. Enzymatic Oral Gel,14.2,213.0,stock in
2024-01-01,Griseofulvin,22.5,337.5,stock in
2024-01-01,Enzymatic Dental Gel,3.22,80.5,stock in
2024-01-01,Zyrtec (Cetirizine),7.6,152.0,stock in
2024-01-01,ArthriFlex,11.64,402.2,stock in
2024-01-01,Tobrex (Tobramycin),27.0,405.0,stock in
2024-01-01,UroVet,17.1,478.80000000000007,stock in
2024-01-01,BoneHeal,6.34,253.6,stock in
2024-01-01,Gabapentin,14.0,770.0,stock in
2024-01-01,FlexiJoint (Dog),3.02,151.0,stock in
2024-01-01,Levothyroxine,7.4,148.0,stock in
2024-01-01,Prednisolone,2.15,47.3,stock in
2024-01-01,Nutra Thrive Canine,7.3,438.0,stock in
2024-01-01,EyeClear,10.0,180.0,stock in
2024-01-01,Beano,7.3,146.0,stock in
2024-01-01,OncoCare,1.06,90.100000000000009,stock in
2024-01-01,Fenbendazole (Panacur),11.0,242.0,stock in
2024-01-01,SlimPaws,2.45,85.75,stock in
2024-01-01,FleaStop,7.36,184.0,stock in
2024-01-01,Vetmedin (Pimobendan),46.0,2760.0,stock in
2024-01-01,Clavamox (Amoxicillin/Clavulanic),36.0,900.0,stock in
2024-01-01,Petromalt,7.6,190.0,stock in
2024-01-01,Palladia (Toceranib Phosphate),24.0,2880.0,stock in
2024-01-01,DiarStop,9.97,149.55,stock in
2024-01-01,Phenobarbital,11.5,345.0,stock in
2024-01-01,GingivaPlus,5.27,147.56,stock in
2024-01-01,Adequan Canine Injection,26.0,1560.0,stock in
2024-01-01,Atopica (Cyclosporine),15.0,1350.0,stock in
2024-01-01,FungalGuard,0.18,7.1999999999999993,stock in
2024-01-01,EarClear,6.6,66.0,stock in
2024-01-01,Metronidazole,26.0,260.0,stock in
2024-01-01,CushiVet,1.18,53.099999999999994,stock in
2024-01-01,CardioVet,2.32,115.99999999999999,stock in
2024-01-01,Enrofloxacin (Baytril),19.0,380.0,stock in
2024-01-01,RetinoGuard,4.2,210.0,stock in
2024-01-01,Hill's Prescription Diet w/d,10.2,765.0,stock in
2024-01-01,ThyroVet,5.26,210.39999999999998,stock in
2024-01-01,Cystaid,14.0,420.0,stock in
2024-01-01,Dasuquin Advanced,5.55,388.5,stock in
2024-01-01,WetTailMed,2.8,33.599999999999994,stock in
2024-01-01,Adequan Canine,19.0,950.0,stock in
2024-01-01,Frontline Plus,46.0,1610.0,stock in
2024-01-01,Rimadyl (Carprofen),8.0,360.0,stock in
2024-02-01,ArthriFlex,17.36,569.8,stock in
2024-02-01,Renal Support RX (Cat),3.68,184.0,stock in
2024-02-01,VetriScience Perio Support,0.04,1.12,stock in
2024-02-01,WormAway,6.66,66.6,stock in
2024-02-01,Rimadyl (Carprofen),20.5,922.5,stock in
2024-02-01,Prednisolone,7.4,162.8,stock in
2024-02-01,AllerEx,4.42,97.24,stock in
2024-02-01,FleaGuard,1.3,26.0,stock in
2024-02-01,Nutra Thrive Canine,9.26,555.6,stock in
2024-02-01,SlimPaws,4.53,158.55,stock in
2024-02-01,Cerenia (Maropitant),10.0,500.0,stock in
2024-02-01,FlexiJoint (Dog),8.78,438.99999999999994,stock in
2024-02-01,Vetmedin (Pimobendan),147.0,8820.0,stock in
2024-02-01,Methimazole,13.75,302.5,stock in
2024-02-01,Canine Eye Health,2.5,75.0,stock in
2024-02-01,Fenbendazole (Panacur),24.0,528.0,stock in
2024-02-01,Adequan Canine,100.0,5000.0,stock in
2024-02-01,Metronidazole,64.0,640.0,stock in
2024-02-01,Levothyroxine,1.2,24.0,stock in
2024-02-01,DiarStop,37.18,557.7,stock in
2024-02-01,FleaStop,1.6,40.0,stock in
2024-02-01,EyeClear,5.8,104.39999999999999,stock in
2024-02-01,Dasuquin Advanced,5.8000000000000007,406.00000000000006,stock in
2024-02-01,Beano,6.9,138.0,stock in
2024-02-01,WetTailMed,6.3000000000000007,75.600000000000009,stock in
2024-02-01,UroVet,23.33,653.24,stock in
2024-02-01,Tresaderm (Antibiotic Drops),8.5,170.0,stock in
2024-02-01,Virbac C.E.T. Enzymatic Oral Gel,15.8,237.0,stock in
2024-02-01,Enzymatic Dental Gel,7.3,182.5,stock in
2024-02-01,OncoCare,7.51,638.35,stock in
2024-02-01,Dermacure,9.16,164.88,stock in
2024-02-01,Clavamox (Amoxicillin/Clavulanic),62.0,1550.0,stock in
2024-02-01,ThyroVet,9.56,382.40000000000003,stock in
2024-02-01,Enrofloxacin (Baytril),16.5,330.0,stock in
2024-02-01,BoneHeal,8.92,356.8,stock in
2024-02-01,Gabapentin,41.0,2255.0,stock in
2024-02-01,Cystaid,8.0,240.0,stock in
2024-02-01,Frontline Plus,65.0,2275.0,stock in
2024-02-01,Griseofulvin,34.5,517.5,stock in
2024-02-01,Otomax (Mometasone Furoate),5.8000000000000007,261.00000000000006,stock in
2024-02-01,RetinoGuard,0.8,40.0,stock in
2024-02-01,OraVet Dental Gel,13.5,337.5,stock in
2024-02-01,Petromalt,9.8,245.00000000000003,stock in
2024-02-01,EarClear,10.1,101.0,stock in
2024-02-01,Atopica (Cyclosporine),36.5,3285.0,stock in
2024-02-01,FungalGuard,9.32,372.8,stock in
2024-02-01,Phenobarbital,23.0,690.0,stock in
2024-02-01,CushiVet,9.05,407.25000000000006,stock in
2024-02-01,Torbutrol (Butorphanol Tartrate),16.0,640.0,stock in
2024-02-01,Hill's Prescription Diet w/d,5.4,405.0,stock in
2024-02-01,CardioVet,5.7200000000000006,286.00000000000006,stock in
2024-02-01,OtitisClean,1.4,21.0,stock in
2024-02-01,WormGuard,10.33,154.95,stock in
2024-02-01,Adequan Canine Injection,11.0,660.0,stock in
2024-02-01,Palladia (Toceranib Phosphate),23.5,2820.0,stock in
2024-02-01,Tobrex (Tobramycin),39.0,585.0,stock in
2024-02-01,Zyrtec (Cetirizine),30.7,614.0,stock in
2024-03-01,WetTailMed,5.0,60.0,stock in
2024-03-01,Enrofloxacin (Baytril),17.0,340.0,stock in
2024-03-01,RetinoGuard,6.0,300.0,stock in
2024-03-01,Phenobarbital,34.0,1020.0,stock in
2024-03-01,Zyrtec (Cetirizine),23.6,472.0,stock in
2024-03-01,FlexiJoint (Dog),12.24,612.0,stock in
