month_invoice,invoice_id,supplier,med_name,packs,price,total_price
2024-01-01,5FJ9WLP4YJTF7T5T,Animal Meds Ltd.,Adequan Canine,19.0,50,950.0
2024-01-01,YLMF3TCTBA0K79V9,Vet Pharma Inc.,Adequan Canine Injection,26.0,60,1560.0
2024-01-01,ARRZPJW4SCMUZGL0,Vet Pharma Inc.,ArthriFlex,1.04,30,31.200000000000003
2024-01-01,2SHLJA6Q69K26JIU,Vet Pharma Inc.,Arthroflex,10.6,35,371.0
2024-01-01,5YXMLECK5VGBT0P8,Vet Pharma Inc.,Atopica (Cyclosporine),15.0,90,1350.0
2024-01-01,NWCF2TRLVUEBECX7,Pets Pharma,Beano,7.3,20,146.0
2024-01-01,LC9D7TTNFJC66GXY,Animal Meds Ltd.,BoneHeal,6.34,40,253.6
2024-01-01,U1B2XEBU0K2G2TIC,Vet Pharma Inc.,CardioVet,2.32,50,115.99999999999999
2024-01-01,M9P9VJQPDGY4OOF9,Vet Pharma Inc.,Clavamox (Amoxicillin + Clavulanic),5.5,25,137.5
2024-01-01,5MP45DS7H34ANJ6R,Vet Pharma Inc.,Clavamox (Amoxicillin/Clavulanic),30.5,25,762.5
2024-01-01,BSUOOR3Y8MG2FIJL,Vet Supplies Co.,CushiVet,1.18,45,53.099999999999994
2024-01-01,S2A7TQM3COTFPP1V,Animal Meds Ltd.,Cystaid,14.0,30,420.0
2024-01-01,PH8HMLDJNF4SY2S3,Animal Meds Ltd.,Dasuquin Advanced,5.55,70,388.5
2024-01-01,EEHP5GANGAMG5JXY,Vet Pharma Inc.,DiarStop,9.97,15,149.55
2024-01-01,XFEBNXT3QVS6BUVS,Animal Meds Ltd.,EarClear,6.6,10,66.0
2024-01-01,SZSS1IVEZ6R0C9YT,Vet Supplies Co.,Enrofloxacin (Baytril),19.0,20,380.0
2024-01-01,T54RLFATGRZYDVDP,Pets Pharma,Enzymatic Dental Gel,3.22,25,80.5
2024-01-01,X8UB5WJIHHTEQ0MJ,Pets Pharma,EyeClear,10.0,18,180.0
2024-01-01,STXARFT5SW0Z8YNK,Pets Pharma,Fenbendazole (Panacur),11.0,22,242.0
2024-01-01,4BR95TGNPQGY8OBQ,Vet Supplies Co.,FleaStop,7.36,25,184.0
2024-01-01,MCLYF75LR04DDGL2,Animal Meds Ltd.,FlexiJoint (Dog),3.02,50,151.0
2024-01-01,T3YUJ5JFIJ3SHH9R,Vet Supplies Co.,Frontline Plus,46.0,35,1610.0
2024-01-01,6MN9J7HCLFN72RC6,Vet Supplies Co.,FungalGuard,0.18,40,7.199999999999999
2024-01-01,6R9ZNY3PGXNCJSI8,Animal Meds Ltd.,Gabapentin,14.0,55,770.0
2024-01-01,LI8K5KREHGMYFDI0,Animal Meds Ltd.,GingivaPlus,5.27,28,147.56
2024-01-01,X86L320H4GR0TTVV,Vet Pharma Inc.,Griseofulvin,22.5,15,337.5
2024-01-01,YY8Q35Y4MQ6I3IDK,Vet Pharma Inc.,Hill's Prescription Diet w/d,10.2,75,765.0
2024-01-01,8D3H3H6L1FTLZJG2,Vet Pharma Inc.,Levothyroxine,7.4,20,148.0
2024-01-01,AU6DG88YKITLZ9M0,Vet Supplies Co.,Metronidazole,26.0,10,260.0
2024-01-01,QOY2HCXVGU3YZHMB,Animal Meds Ltd.,Nutra Thrive Canine,7.3,60,438.0
2024-01-01,N95PS175RFWX5QC1,Vet Pharma Inc.,OncoCare,1.06,85,90.10000000000001
2024-01-01,8I9FIHF250EJH2RJ,Pets Pharma,Palladia (Toceranib Phosphate),24.0,120,2880.0
2024-01-01,UGVL42FRIIQRWALS,Vet Pharma Inc.,Petromalt,7.6,25,190.0
2024-01-01,GTS1EKD7DY3W6AD1,Animal Meds Ltd.,Phenobarbital,11.5,30,345.0
2024-01-01,75S84ME49VRAX0RF,Vet Pharma Inc.,Prednisolone,2.15,22,47.3
2024-01-01,XCYUHCS4Z56O2URU,Animal Meds Ltd.,RetinoGuard,4.2,50,210.0
